WorldSize,Run,Time
2,0,138.46
3,0,93.53
4,0,72.82
5,0,90.60
6,0,76.50
7,0,67.01
8,0,59.40
9,0,52.41
10,0,49.93
11,0,43.83
12,0,40.84
13,0,40.23
14,0,35.54
15,0,33.12
16,0,31.58
