WorldSize,Run,Time
2,0,152.96
3,0,104.91
4,0,80.33
5,0,87.46
6,0,75.29
7,0,70.06
8,0,63.22
9,0,74.74
10,0,70.91
11,0,63.13
12,0,66.42
13,0,64.05
14,0,64.91
15,0,65.66
16,0,66.11
