WorldSize,Run,ActualTime
2,0,4.377249717712402
4,0,2.6716206073760986
6,0,2.6921401023864746
8,0,2.63102126121521
10,0,7.199781894683838
12,0,7.608505725860596
14,0,7.959661960601807
16,0,9.292933940887451
